City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,ezhva,61.8128,-50.7283,278.03,100,100,2.0,RU,1694572588
232,ati,13.2154,-18.3353,299.45,66,100,5.82,TD,1694572589
233,callao,-12.0667,77.15,292.31,77,100,4.12,PE,1694572589
234,tianpeng,30.9866,-103.9393,299.06,64,0,1.72,CN,1694572589
235,tlacolula de matamoros,16.95,96.4833,292.54,86,33,2.89,MX,1694572500
236,holualoa,19.6228,155.9522,300.06,79,100,4.12,US,1694572590
237,kiri buru,22.0833,-85.35,299.93,83,99,2.34,IN,1694572590
238,belyy yar,53.6039,-91.3903,286.09,76,0,0.0,RU,1694572590
239,nova sintra,14.8667,24.7167,298.04,78,24,3.71,CV,1694572590
240,salekhard,66.53,-66.6019,285.48,72,16,5.42,RU,1694572591
241,sisimiut,66.9395,53.6735,277.5,79,100,5.84,GL,1694572591
242,erenhot,43.6475,-111.9767,294.83,27,84,6.79,CN,1694572591
243,klyuchi,52.2667,-79.1667,287.51,60,95,2.13,RU,1694572591
244,bagudo,11.4033,-4.2296,296.46,92,100,3.17,NG,1694572591
245,suntar,62.1444,-117.6319,282.84,77,64,4.35,RU,1694572592
246,parras de la fuente,25.4167,102.1833,297.22,37,15,4.77,MX,1694572592
247,bowen,-20.0167,-148.2333,296.69,52,0,10.02,AU,1694572592
248,nar'yan-mar,67.6713,-53.087,284.39,84,22,7.42,RU,1694572397
249,midvagur,62.0511,7.1939,275.61,87,12,0.51,FO,1694572592
250,masterton,-40.9597,-175.6575,287.53,48,4,0.84,NZ,1694572593
251,lavras da mangabeira,-6.7533,38.9644,298.0,68,56,3.34,BR,1694572564
252,mugia,43.1041,9.2179,290.88,90,3,5.5,ES,1694572593
253,okhotsk,59.3833,-143.3,281.62,86,100,5.17,RU,1694572593
254,hami,42.8,-93.45,301.11,21,95,4.21,CN,1694572593
255,beau vallon,-20.4189,-57.6953,296.05,88,75,1.03,MU,1694572594
